api_id,api_name,source_url,local_file,openapi_version,endpoint_count
bitbucket-org,Bitbucket API,https://api.apis.guru/v2/specs/bitbucket.org/2.0/openapi.json,specs/bitbucket-org/openapi.json,3.0.0,303
box-com,Box Platform API,https://api.apis.guru/v2/specs/box.com/2.0.0/openapi.json,specs/box-com/openapi.json,3.0.2,260
datumbox-com,api.datumbox.com,https://api.apis.guru/v2/specs/datumbox.com/1.0/openapi.json,specs/datumbox-com/openapi.json,3.0.0,14
docker-com-engine,Docker Engine API,https://api.apis.guru/v2/specs/docker.com/engine/1.33/openapi.json,specs/docker-com-engine/openapi.json,3.0.0,105
docusign-net,DocuSign REST API,https://api.apis.guru/v2/specs/docusign.net/v2.1/openapi.json,specs/docusign-net/openapi.json,3.0.0,393
ebay-com-commerce-charity,Charity API,https://api.apis.guru/v2/specs/ebay.com/commerce-charity/v1.2.1/openapi.json,specs/ebay-com-commerce-charity/openapi.json,3.0.0,2
ebay-com-sell-account,Account API,https://api.apis.guru/v2/specs/ebay.com/sell-account/v1.9.0/openapi.json,specs/ebay-com-sell-account/openapi.json,3.0.0,36
ebay-com-sell-fulfillment,Fulfillment API,https://api.apis.guru/v2/specs/ebay.com/sell-fulfillment/v1.19.19/openapi.json,specs/ebay-com-sell-fulfillment/openapi.json,3.0.0,15
github-com,GitHub v3 REST API,https://api.apis.guru/v2/specs/github.com/1.1.4/openapi.json,specs/github-com/openapi.json,3.0.3,845
googleapis-com-books,Books API,https://api.apis.guru/v2/specs/googleapis.com/books/v1/openapi.json,specs/googleapis-com-books/openapi.json,3.0.0,51
googleapis-com-calendar,Calendar API,https://api.apis.guru/v2/specs/googleapis.com/calendar/v3/openapi.json,specs/googleapis-com-calendar/openapi.json,3.0.0,37
googleapis-com-drive,Drive API,https://api.apis.guru/v2/specs/googleapis.com/drive/v3/openapi.json,specs/googleapis-com-drive/openapi.json,3.0.0,48
googleapis-com-gmail,Gmail API,https://api.apis.guru/v2/specs/googleapis.com/gmail/v1/openapi.json,specs/googleapis-com-gmail/openapi.json,3.0.0,79
